,0
0,Arizona
1,Arkansas
2,California
3,Colorado
4,Connecticut
5,Delaware
6,Georgia
7,Hawaii
8,Idaho
9,Illinois
10,Indiana
11,Iowa
12,Kansas
13,Kentucky
14,Louisiana
15,Maryland
16,Massachusetts
17,Minnesota
18,Mississippi
19,Missouri
20,Montana
21,Nebraska
22,Nevada
23,New Hampshire
24,New Jersey
25,New Mexico
26,New York
27,North Carolina
28,North Dakota
29,Oklahoma
30,Oregon
31,Pennsylvania
32,Rhode Island
33,South Carolina
34,South Dakota
35,Tennessee
36,Texas
37,Utah
38,Vermont
39,Washington
40,West Virginia
41,Wisconsin
42,Wyoming
